2018-01-18 11:43:07,122 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AutomationFW:Automation:1.0-SNAPSHOT @ E:\Automation_YouVisit\YouVisit\YouVisitFramework\automatedtests\java_automation\pom.xml.
2018-01-18 11:43:07,122 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AutomationFW:Automation:1.0-SNAPSHOT @ E:\Automation_YouVisit\YouVisit\YouVisitFramework\automatedtests\java_automation\pom.xml.
2018-01-18 11:43:09,662 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for commons-io:commons-io:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-01-18 11:43:09,687 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for commons-io:commons-io:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-01-18 11:43:11,093 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.httpcomponents:httpclient:jar:4.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-01-18 11:43:11,108 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.httpcomponents:httpmime:jar:4.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-01-18 11:43:11,124 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.httpcomponents:httpclient:jar:4.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-01-18 11:43:11,134 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.httpcomponents:httpmime:jar:4.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-01-18 11:43:14,336 [Worker-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/ru/yandex/qatools/allure/allure-testng-adaptor/1.4.23/allure-testng-adaptor-1.4.23.jar
2018-01-18 11:43:14,338 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/ru/yandex/qatools/allure/allure-testng-adaptor/1.4.23/allure-testng-adaptor-1.4.23.jar
2018-01-18 11:43:14,552 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/ru/yandex/qatools/allure/allure-testng-adaptor/1.4.23/allure-testng-adaptor-1.4.23.jar
