2018-01-04 13:22:27,429 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AutomationFW:Automation:1.0-SNAPSHOT @ D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation\pom.xml.
2018-01-04 13:22:31,023 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Automation/src/main/java
2018-01-04 13:22:31,024 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Automation/src/main/resources
2018-01-04 13:22:31,025 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Automation/src/test/java
2018-01-04 13:22:31,231 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2018-01-04 13:22:37,111 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:22:37,120 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-01-04 13:22:37,163 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:22:37,168 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation\src\test\resources
2018-01-04 13:31:20,854 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation
2018-01-04 13:31:20,854 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-01-04 13:32:35,311 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:32:35,321 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-01-04 13:32:35,333 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:32:35,337 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation\src\test\resources
2018-01-04 13:32:41,179 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:32:41,186 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-01-04 13:32:41,195 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:32:41,203 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation\src\test\resources
2018-01-04 13:32:52,361 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation
2018-01-04 13:32:52,361 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-01-04 13:55:02,502 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation
2018-01-04 13:55:02,502 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-01-04 14:01:03,529 [Worker-47] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation
2018-01-04 14:01:03,529 [Worker-47] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-01-04 14:05:09,153 [Worker-45] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation
2018-01-04 14:05:09,153 [Worker-45] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-01-04 14:06:08,331 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:06:08,336 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-01-04 14:06:08,337 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:06:08,342 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation\src\test\resources
2018-01-04 14:07:22,957 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
